"ANO","MES","TOTAL"
"2017","2","421"
"2017","3","485"
"2017","4","398"
"2017","5","370"
"2017","6","289"
"2017","7","286"
"2017","8","352"
"2017","9","315"
"2017","10","349"
"2017","11","403"
"2017","12","316"
"2018","1","351"
"2018","2","313"
"2018","3","370"
"2018","4","414"
"2018","5","501"
"2018","6","476"
"2018","7","421"
"2018","8","400"
"2018","9","340"
"2018","10","301"
"2018","11","466"
"2018","12","353"
"2019","1","367"
"2019","2","314"
"2019","3","385"
"2019","4","446"
"2019","5","463"
"2019","6","288"
"2019","7","422"
"2019","8","338"
"2019","9","344"
"2019","10","407"
"2019","11","359"
"2019","12","321"
"2020","1","307"
"2020","2","249"
"2020","3","340"
"2020","4","277"
"2020","5","250"
"2020","6","280"
"2020","7","297"
"2020","8","242"
"2020","9","302"
"2020","10","312"
"2020","11","281"
